strategy_name,scenario,seed,implementation_shortfall_bps,execution_cost,market_impact_cost,total_transaction_fees,completion_rate,average_execution_price,arrival_price,vwap_slippage_bps,terminal_penalty,turnover,reward_total,action_0_pct,action_1_pct,action_2_pct,action_3_pct
Regime-Aware DQN,low_liquidity,123,34.0568139563996,51473.006985569176,244.1813278781921,7.917997245033306,0.1583599449006661,136.28172610543163,151.34638366823884,3.7094995484009883,48533.166751255565,2396883.551126146,,,,,
DQN (shuffled regime),low_liquidity,123,33.06004535250929,49958.5115803687,396.54240980771397,7.451887698445181,0.14903775396890365,151.54772885845063,151.34638366823884,6.8898442648591365,46807.49944341993,2259246.651533797,,,,,
PPO,low_liquidity,123,32.11797906760525,48560.53048142485,1713.245951854124,36.399622253514465,0.7279924450702894,151.8382742317346,151.34638366823884,26.08710471332751,11041.07989177829,11054082.408073064,,,,,
Regime-Aware PPO,low_liquidity,123,32.095633910770026,48526.83385671523,1692.9348163299503,36.182502693911985,0.7236500538782399,151.83672658013444,151.34638366823884,25.9852684876097,11399.53725853559,10987983.919764664,,,,,
PPO (shuffled regime),low_liquidity,123,32.095633910770026,48526.83385671523,1692.9348163299503,36.182502693911985,0.7236500538782399,151.83672658013444,151.34638366823884,25.9852684876097,11399.53725853559,10987983.919764664,,,,,
TWAP,stress,777,3.2308377582562398,4692.519008054125,2695.4694100058528,50.0,1.0,150.69143713799116,150.6450119479106,10.957878976606848,0.0,15069143.713799117,,,,,
VWAP,stress,777,2.934124913828939,4245.532187520033,2722.4758833207384,50.0,1.0,150.68696726978584,150.6450119479106,10.665597885697967,0.0,15068696.726978583,,,,,
POV,stress,777,2.446908988365491,3657.248081484319,4167.417778293498,50.0,1.0,150.68108442872548,150.6450119479106,10.345803653639312,0.0,15068108.442872548,,,,,
DQN,stress,777,1.5532079330018467,2280.9467945262313,4651.075764587571,49.84509971003742,0.9969019942007483,150.6627454631844,150.6450119479106,9.124504443020136,452.36406239894495,15019788.217341565,,,,,
Regime-Aware DQN,stress,777,0.13217324129917168,139.90706090123277,4654.033962856655,49.78651280438932,0.9957302560877862,150.63994611315033,150.6450119479106,7.616566899058914,572.7880003388194,15000252.575517429,,,,,
DQN (shuffled regime),stress,777,1.6875791308461563,2485.3434951082945,4693.328527754459,49.98872647392966,0.9997745294785931,150.6690592789383,150.6450119479106,9.548368424177617,30.74960172770942,15063524.33071186,,,,,
PPO,stress,777,4.354159746756715,6635.46981206594,4645.350206277226,43.416246719376424,0.8683249343875284,145.61509500221135,150.6450119479106,2.773992269678023,11507.150494794572,13073474.987299519,,,,,
Regime-Aware PPO,stress,777,3.5104537243260356,5287.465651372879,4405.089687818897,49.99309104167269,0.9998618208334538,150.69727468499704,150.6450119479106,11.402907552055245,12.295417813402436,15067638.227550188,,,,,
PPO (shuffled regime),stress,777,4.101432617119867,6143.328733737869,4170.068701364103,49.95782421717383,0.9991564843434764,150.70480314006548,150.6450119479106,11.915029268864734,113.7775400529538,15057800.194404714,,,,,
TWAP,stress,123,30.227269097514966,46996.102124929654,3373.470511770395,50.0,1.0,159.1530191425933,158.68355812134402,11.068862808134472,0.0,15915301.914259333,,,,,
VWAP,stress,123,30.23180709470393,46979.855769285765,3417.079149654659,50.0,1.0,159.1528566790369,158.68355812134402,11.071178753819462,0.0,15915285.667903684,,,,,
POV,stress,123,29.019196959808617,45560.98472190187,5714.106377372171,50.0,1.0,159.138667968563,158.68355812134402,11.937429839415612,0.0,15913866.796856303,,,,,
