rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,PPO,POV,high_volatility,window,150,3.3211430573668768,-2.6151815700452787,8.868263783893068,0.8167589330076267,0.5066666666666667,,,
RQ1,PPO,POV,high_volatility,seed,5,3.3211430573668763,,,,0.4,5.0,8.305492454734772,2.0
RQ1,PPO,POV,liquidity_shock,window,150,2.902934527715733,0.7313563959753637,5.222983015459841,0.006069549398923162,0.4,,,
RQ1,PPO,POV,liquidity_shock,seed,5,2.9029345277157326,,,,0.2,5.0,3.1262130156831147,1.0
RQ1,PPO,POV,low_liquidity,window,150,-0.5427770268865592,-2.4408928000741206,1.2439203015409284,0.041123103329052425,0.6266666666666667,,,
RQ1,PPO,POV,low_liquidity,seed,5,-0.5427770268865589,,,,0.6,5.0,1.161109294633387,3.0
RQ1,PPO,POV,normal,window,150,-0.6359594104522147,-2.0946120030128914,0.8763533358171367,0.01040698177911193,0.6,,,
RQ1,PPO,POV,normal,seed,5,-0.6359594104522148,,,,0.6,5.0,1.5946528045882529,3.0
RQ1,PPO,POV,regime_transition,window,150,5.036211286833041,-1.7527043277840593,11.348282364518035,0.22298938805915003,0.48,,,
RQ1,PPO,POV,regime_transition,seed,5,5.036211286833041,,,,0.0,5.0,5.00542924552325,0.0
RQ1,PPO,POV,stress,window,150,4.103083025142029,-2.571183835646281,10.231871569976594,0.22657205859375462,0.47333333333333333,,,
RQ1,PPO,POV,stress,seed,5,4.10308302514203,,,,0.2,5.0,6.665204330032,1.0
RQ1,PPO,POV,TURBULENT,window,600,3.8408429742644192,1.103344757254911,6.551101623753462,0.025219486591411867,0.465,,,
RQ1,PPO,POV,TURBULENT,seed,5,3.8408429742644197,,,,0.0,5.0,4.880890475645821,0.0
RQ1,Regime-Aware DQN,TWAP,ALL,window,900,-0.12921678670750483,-1.01588254555509,0.7605008562845674,0.024822699856165982,0.5488888888888889,,,
RQ1,Regime-Aware DQN,TWAP,ALL,seed,5,-0.12921678670750483,,,,0.4,5.0,1.26696779625738,2.0
RQ1,Regime-Aware DQN,TWAP,high_volatility,window,150,-1.481009378692017,-3.962893460708011,0.890106856045293,0.11223282095039443,0.5466666666666666,,,
RQ1,Regime-Aware DQN,TWAP,high_volatility,seed,5,-1.481009378692017,,,,0.8,5.0,2.669154327019099,4.0
RQ1,Regime-Aware DQN,TWAP,liquidity_shock,window,150,0.27618093364524954,-1.0159686424032455,1.8131308587866566,0.07391840210162426,0.5333333333333333,,,
RQ1,Regime-Aware DQN,TWAP,liquidity_shock,seed,5,0.2761809336452497,,,,0.4,5.0,2.5383626373744894,2.0
RQ1,Regime-Aware DQN,TWAP,low_liquidity,window,150,-0.40872094007206633,-1.3506196413018206,0.5607305039500724,0.08862659776721536,0.5933333333333334,,,
RQ1,Regime-Aware DQN,TWAP,low_liquidity,seed,5,-0.4087209400720663,,,,0.4,5.0,1.578789461380706,2.0
RQ1,Regime-Aware DQN,TWAP,normal,window,150,-0.6601671386571409,-2.1582522038637184,1.077901182958917,0.0018363605444735496,0.6266666666666667,,,
RQ1,Regime-Aware DQN,TWAP,normal,seed,5,-0.6601671386571408,,,,0.8,5.0,1.269025323737806,4.0
RQ1,Regime-Aware DQN,TWAP,regime_transition,window,150,2.765384994347082,-0.8125191586833858,6.213415335496573,0.03947768517301486,0.44666666666666666,,,
RQ1,Regime-Aware DQN,TWAP,regime_transition,seed,5,2.7653849943470816,,,,0.2,5.0,3.387010292172249,1.0
RQ1,Regime-Aware DQN,TWAP,stress,window,150,-1.2669691908161358,-3.86234204262221,1.1561483600452558,0.28444171874060975,0.5466666666666666,,,
RQ1,Regime-Aware DQN,TWAP,stress,seed,5,-1.2669691908161362,,,,0.6,5.0,2.2851050887681863,3.0
RQ1,Regime-Aware DQN,TWAP,TURBULENT,window,600,0.07339683962104454,-1.219903526250354,1.3327211840611954,0.4869551086284294,0.5183333333333333,,,
RQ1,Regime-Aware DQN,TWAP,TURBULENT,seed,5,0.07339683962104447,,,,0.2,5.0,1.7554896939056566,1.0
RQ1,Regime-Aware DQN,VWAP,ALL,window,900,-0.035240859660118376,-0.8975599474243182,0.8366060879331697,0.03353890777419161,0.5466666666666666,,,
RQ1,Regime-Aware DQN,VWAP,ALL,seed,5,-0.03524085966011835,,,,0.2,5.0,1.312555613595522,1.0
RQ1,Regime-Aware DQN,VWAP,high_volatility,window,150,-1.3317870168667758,-3.766956314416199,1.041095815520916,0.11741374987638649,0.5466666666666666,,,
RQ1,Regime-Aware DQN,VWAP,high_volatility,seed,5,-1.3317870168667763,,,,0.8,5.0,2.5126299353534356,4.0
RQ1,Regime-Aware DQN,VWAP,liquidity_shock,window,150,0.27241613984208324,-1.0192530037876815,1.8158656110358136,0.08585185255390745,0.54,,,
RQ1,Regime-Aware DQN,VWAP,liquidity_shock,seed,5,0.27241613984208324,,,,0.4,5.0,2.536782235212004,2.0
RQ1,Regime-Aware DQN,VWAP,low_liquidity,window,150,-0.4374091353376713,-1.3844974627949265,0.5310949205632002,0.07668850925590326,0.6,,,
RQ1,Regime-Aware DQN,VWAP,low_liquidity,seed,5,-0.4374091353376711,,,,0.4,5.0,1.5672064207009455,2.0
RQ1,Regime-Aware DQN,VWAP,normal,window,150,-0.6877368448538621,-2.1787300901638904,1.0269938930901694,0.0016368003356132265,0.6333333333333333,,,
RQ1,Regime-Aware DQN,VWAP,normal,seed,5,-0.6877368448538619,,,,0.8,5.0,1.2974631030371337,4.0
RQ1,Regime-Aware DQN,VWAP,regime_transition,window,150,3.0061169053710834,-0.5081536029083542,6.397986015367009,0.03391433612407646,0.42,,,
RQ1,Regime-Aware DQN,VWAP,regime_transition,seed,5,3.0061169053710843,,,,0.2,5.0,3.4635635152846396,1.0
RQ1,Regime-Aware DQN,VWAP,stress,window,150,-1.0330452061155686,-3.6245744314115522,1.3900945507762794,0.36930253435053173,0.54,,,
RQ1,Regime-Aware DQN,VWAP,stress,seed,5,-1.033045206115569,,,,0.6,5.0,2.3773202956500405,3.0
