rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,PPO,VWAP,normal,seed,4,-0.5703529301885779,,,,0.75,4.0,2.8776590502454233,3.0
RQ1,PPO,VWAP,regime_transition,window,80,2.437455472207095,-1.7745447790508417,7.272548442176918,0.7443127382977939,0.4625,,,
RQ1,PPO,VWAP,regime_transition,seed,4,2.4374554722070947,,,,0.5,4.0,4.704313591553092,2.0
RQ1,PPO,VWAP,stress,window,80,4.680706305935817,-1.344282034429391,11.07761117730396,0.32785547382592994,0.4875,,,
RQ1,PPO,VWAP,stress,seed,4,4.680706305935816,,,,0.0,4.0,4.751266437033658,0.0
RQ1,PPO,VWAP,TURBULENT,window,320,0.10819676091180916,-2.250304858915913,2.616210517215226,0.181722480271736,0.528125,,,
RQ1,PPO,VWAP,TURBULENT,seed,4,0.10819676091180877,,,,0.5,4.0,1.723862873927646,2.0
RQ1,PPO,POV,ALL,window,480,-1.165141049923231,-6.228718045378441,3.8369269397616326,0.049059038524764044,0.55,,,
RQ1,PPO,POV,ALL,seed,4,-1.1651410499232302,,,,0.5,4.0,9.280723069174574,2.0
RQ1,PPO,POV,high_volatility,window,80,-5.309440170064604,-19.351802344673207,8.697527613275739,0.414861224887195,0.5375,,,
RQ1,PPO,POV,high_volatility,seed,4,-5.309440170064605,,,,0.75,4.0,8.804593155865504,3.0
RQ1,PPO,POV,liquidity_shock,window,80,-3.365858276142151,-8.295999070658794,1.7191768645375403,0.14482088940018353,0.55,,,
RQ1,PPO,POV,liquidity_shock,seed,4,-3.3658582761421516,,,,0.75,4.0,5.1979400286393735,3.0
RQ1,PPO,POV,low_liquidity,window,80,0.21160918234248224,-4.989965916513369,6.38119586720138,0.4231432468497145,0.5625,,,
RQ1,PPO,POV,low_liquidity,seed,4,0.2116091823424833,,,,0.75,4.0,3.674300499070642,3.0
RQ1,PPO,POV,normal,window,80,0.5369139843429582,-4.918300241860097,7.812165028172921,0.19203245558852333,0.575,,,
RQ1,PPO,POV,normal,seed,4,0.5369139843429585,,,,0.75,4.0,5.555944878576675,3.0
RQ1,PPO,POV,regime_transition,window,80,-0.912061322282311,-16.571746829632716,14.529143339776876,0.5204171690684798,0.5625,,,
RQ1,PPO,POV,regime_transition,seed,4,-0.9120613222823115,,,,0.5,4.0,19.36918302846448,2.0
RQ1,PPO,POV,stress,window,80,1.8479903022642425,-15.40325130704793,19.04358590703736,0.7993385621795559,0.5125,,,
RQ1,PPO,POV,stress,seed,4,1.8479903022642423,,,,0.5,4.0,24.63217832672069,2.0
RQ1,PPO,POV,TURBULENT,window,320,-1.934842366556206,-8.927786924256072,4.898278174950725,0.142188701439796,0.540625,,,
RQ1,PPO,POV,TURBULENT,seed,4,-1.934842366556206,,,,0.5,4.0,13.38923091381082,2.0
RQ1,Regime-Aware DQN,TWAP,ALL,window,480,26.038714679744924,18.12915663177047,35.00263028344383,0.02983161313557534,0.51875,,,
RQ1,Regime-Aware DQN,TWAP,ALL,seed,4,26.038714679744924,,,,0.0,4.0,9.0268265758707,0.0
RQ1,Regime-Aware DQN,TWAP,high_volatility,window,80,6.8352488737631685,-3.280998241362771,18.179529782284813,0.9235795482276082,0.525,,,
RQ1,Regime-Aware DQN,TWAP,high_volatility,seed,4,6.835248873763167,,,,0.5,4.0,15.69005316253057,2.0
RQ1,Regime-Aware DQN,TWAP,liquidity_shock,window,80,-4.1850906282431355,-7.6502464812974,-0.5697738901526505,3.788548078522968e-05,0.7375,,,
RQ1,Regime-Aware DQN,TWAP,liquidity_shock,seed,4,-4.185090628243135,,,,1.0,4.0,3.5961896512048055,4.0
RQ1,Regime-Aware DQN,TWAP,low_liquidity,window,80,3.331989269102805,-3.0844793478541823,10.179889315041095,0.8516173529316228,0.5125,,,
RQ1,Regime-Aware DQN,TWAP,low_liquidity,seed,4,3.331989269102806,,,,0.75,4.0,12.05068196091104,3.0
RQ1,Regime-Aware DQN,TWAP,normal,window,80,1.7927505102844337,-3.3860940295785555,8.052065152968595,0.17014497162616482,0.6,,,
RQ1,Regime-Aware DQN,TWAP,normal,seed,4,1.7927505102844332,,,,0.25,4.0,4.9645166678453485,1.0
RQ1,Regime-Aware DQN,TWAP,regime_transition,window,80,10.237986451452745,-3.1637164918887866,24.999935684648136,0.6555577276025627,0.5375,,,
RQ1,Regime-Aware DQN,TWAP,regime_transition,seed,4,10.237986451452747,,,,0.0,4.0,7.774000394174039,0.0
RQ1,Regime-Aware DQN,TWAP,stress,window,80,138.2194036021095,101.9716406485304,178.9489247960266,2.3596686855311907e-10,0.2,,,
RQ1,Regime-Aware DQN,TWAP,stress,seed,4,138.21940360210954,,,,0.0,4.0,49.28496547888216,0.0
RQ1,Regime-Aware DQN,TWAP,TURBULENT,window,320,37.77688707477058,26.160103453630825,50.56342459513424,0.001156803194451752,0.5,,,
RQ1,Regime-Aware DQN,TWAP,TURBULENT,seed,4,37.77688707477058,,,,0.0,4.0,10.589236222736627,0.0
RQ1,Regime-Aware DQN,VWAP,ALL,window,480,26.0296851303769,18.20954338356523,35.044783289914825,0.026822726196499672,0.51875,,,
RQ1,Regime-Aware DQN,VWAP,ALL,seed,4,26.0296851303769,,,,0.0,4.0,9.487761829149315,0.0
RQ1,Regime-Aware DQN,VWAP,high_volatility,window,80,6.5373941391112025,-3.8766888485414466,18.22241299840112,0.9388299095423733,0.5125,,,
RQ1,Regime-Aware DQN,VWAP,high_volatility,seed,4,6.5373941391112025,,,,0.5,4.0,16.514090616024433,2.0
RQ1,Regime-Aware DQN,VWAP,liquidity_shock,window,80,-4.28044505447856,-7.725159562357906,-0.847016438473538,3.205111329974865e-05,0.7625,,,
RQ1,Regime-Aware DQN,VWAP,liquidity_shock,seed,4,-4.28044505447856,,,,1.0,4.0,3.463259610180748,4.0
RQ1,Regime-Aware DQN,VWAP,low_liquidity,window,80,3.305011258203497,-3.1522820499429036,10.123644002967694,0.9579238024581623,0.5125,,,
RQ1,Regime-Aware DQN,VWAP,low_liquidity,seed,4,3.305011258203498,,,,0.75,4.0,11.978276849567179,3.0
RQ1,Regime-Aware DQN,VWAP,normal,window,80,1.7708473505371167,-3.2050137701195807,7.838944112996356,0.17467025738287734,0.6125,,,
RQ1,Regime-Aware DQN,VWAP,normal,seed,4,1.7708473505371167,,,,0.25,4.0,5.312413848059811,1.0
RQ1,Regime-Aware DQN,VWAP,regime_transition,window,80,10.535941629031477,-3.118599872912696,25.5676541944448,0.6729715356040642,0.5125,,,
RQ1,Regime-Aware DQN,VWAP,regime_transition,seed,4,10.535941629031475,,,,0.0,4.0,7.624207319256464,0.0
RQ1,Regime-Aware DQN,VWAP,stress,window,80,138.3093614598567,102.14407861791761,178.83036522047576,2.2873590898175763e-10,0.2,,,
RQ1,Regime-Aware DQN,VWAP,stress,seed,4,138.3093614598567,,,,0.0,4.0,49.967074033142005,0.0
RQ1,Regime-Aware DQN,VWAP,TURBULENT,window,320,37.77556304338021,26.126785773634865,50.555364786237334,0.0012352790954276364,0.496875,,,
RQ1,Regime-Aware DQN,VWAP,TURBULENT,seed,4,37.775563043380195,,,,0.0,4.0,11.210643834203829,0.0
RQ1,Regime-Aware DQN,POV,ALL,window,480,25.03254849304169,16.235926324538756,34.77337282636945,0.0024370412317081245,0.47708333333333336,,,
RQ1,Regime-Aware DQN,POV,ALL,seed,4,25.032548493041688,,,,0.0,4.0,2.9568336942709337,0.0
RQ1,Regime-Aware DQN,POV,high_volatility,window,80,3.69040360453521,-12.675284011309571,19.555590579107342,0.847858538655998,0.5125,,,
RQ1,Regime-Aware DQN,POV,high_volatility,seed,4,3.6904036045352107,,,,0.5,4.0,20.86844285828897,2.0
RQ1,Regime-Aware DQN,POV,liquidity_shock,window,80,-3.423378231613648,-10.788552645470554,4.752107174653087,0.06343030773857132,0.6125,,,
RQ1,Regime-Aware DQN,POV,liquidity_shock,seed,4,-3.4233782316136474,,,,0.5,4.0,6.199125532473551,2.0
RQ1,Regime-Aware DQN,POV,low_liquidity,window,80,4.387081029532743,-0.6436221995683354,10.3483648144168,0.9617458324476099,0.5375,,,
RQ1,Regime-Aware DQN,POV,low_liquidity,seed,4,4.387081029532743,,,,0.5,4.0,10.801356060422883,2.0
RQ1,Regime-Aware DQN,POV,normal,window,80,2.8781142650686533,-2.624336879296572,9.411062720484123,0.8855884254390739,0.525,,,
RQ1,Regime-Aware DQN,POV,normal,seed,4,2.8781142650686533,,,,0.0,4.0,1.8389153530568776,0.0
RQ1,Regime-Aware DQN,POV,regime_transition,window,80,7.186424834542072,-17.804218700144794,32.1677708406732,0.8704603561321786,0.5,,,
RQ1,Regime-Aware DQN,POV,regime_transition,seed,4,7.186424834542071,,,,0.5,4.0,16.50563128094528,2.0
RQ1,Regime-Aware DQN,POV,stress,window,80,135.47664545618508,100.61948825754999,173.0579163685413,4.797753862857033e-10,0.175,,,
RQ1,Regime-Aware DQN,POV,stress,seed,4,135.47664545618508,,,,0.0,4.0,35.38683046109639,0.0
RQ1,Regime-Aware DQN,POV,TURBULENT,window,320,35.73252391591218,22.782217003763552,49.54594010671298,0.00031589284748538115,0.45,,,
RQ1,Regime-Aware DQN,POV,TURBULENT,seed,4,35.73252391591218,,,,0.0,4.0,2.8704718942868874,0.0
RQ1,Regime-Aware PPO,TWAP,ALL,window,480,-0.012234613802611734,-2.548399955077295,2.971969626342814,6.923131477149373e-05,0.5854166666666667,,,
RQ1,Regime-Aware PPO,TWAP,ALL,seed,4,-0.012234613802611816,,,,0.5,4.0,3.0568580161408834,2.0
RQ1,Regime-Aware PPO,TWAP,high_volatility,window,80,1.800386243610005,-2.8831377137765624,6.639519888169896,0.810474174407197,0.525,,,
RQ1,Regime-Aware PPO,TWAP,high_volatility,seed,4,1.8003862436100047,,,,0.5,4.0,5.379363752816418,2.0
RQ1,Regime-Aware PPO,TWAP,liquidity_shock,window,80,2.086053540983591,-2.215557924530764,9.312374072533428,0.1657081276115724,0.55,,,
RQ1,Regime-Aware PPO,TWAP,liquidity_shock,seed,4,2.0860535409835914,,,,0.5,4.0,6.444691141767349,2.0
RQ1,Regime-Aware PPO,TWAP,low_liquidity,window,80,-3.41385405762797,-5.939109033619998,-1.4174655098199769,6.864952337215453e-05,0.7,,,
RQ1,Regime-Aware PPO,TWAP,low_liquidity,seed,4,-3.4138540576279706,,,,1.0,4.0,2.294175981663111,4.0
RQ1,Regime-Aware PPO,TWAP,normal,window,80,-1.242234059804887,-5.307961203928929,3.4044227158967875,0.009075942606816191,0.6375,,,
RQ1,Regime-Aware PPO,TWAP,normal,seed,4,-1.242234059804887,,,,0.75,4.0,4.273277629399228,3.0
